,set number,name,theme,subtheme,year,availability,pieces,retail price,value,growth,annual growth
210,10196-1,Grand Carousel,Advanced Models,Fairground,2009,Retired,"3,263  (PPP C$0.10)",C$349.99,"C$3,636.26",+1037.27%,+12.42%
211,10197-1,Fire Brigade,Advanced Models,Modular Buildings,2009,Retired,"2,231  (PPP C$0.09)",C$199.99,C$602.40,+214.01%,+17.83%
212,10198-1,Tantive IV,Star Wars,Episode IV,2009,Retired,"1,408  (PPP C$0.14)",C$199.99,C$383.70,+100.01%,+6.47%
213,10199-1,Winter Village Toy Shop,Advanced Models,Winter Village,2009,Retired,815  (PPP C$0.09),C$79.99,C$227.48,+196.48%,+11.90%
214,10-2,Kraft Velveeta Mini-Wheel Model Maker Set 10,Samsonite,Kraft Velveeta,1971,Retired,101  (PPP C$0.03),C$2.56,C$144.94,+5566.00%,+8.59%
215,10200-1,Custom Car Garage,Factory,Custom Cars,2008,Retired,893  (PPP C$0.10),C$89.52,C$192.81,+115.39%,+4.57%
216,1020-1,Basic Bricks with 90 Elements,Dacta,Duplo,1986,Retired,86,,Unknown,,
217,10201-1,Takutanuva,Bionicle,Warriors,2003,Retired,399  (PPP C$0.16),C$63.94,C$152.05,+137.81%,+5.23%
218,10202-1,Ultimate Dume,Bionicle,Warriors,2004,Retired,564  (PPP C$0.11),C$63.94,C$308.56,+382.60%,+5.59%
219,10203-1,Voporak,Bionicle,Warriors,2005,Retired,647  (PPP C$0.10),C$63.94,C$400.75,+526.79%,+12.66%
220,10204-1,Vezon & Kardas,Bionicle,Warriors,2006,Retired,670  (PPP C$0.10),C$63.94,C$503.96,+688.22%,+15.90%
221,10205-1,Large Black Train Engine with Tender,Trains,9V,2002,Retired,232  (PPP C$0.13),C$30.68,C$363.48,+1084.62%,+6.78%
222,102-1,4.5V Motor Set,Trains,4.5V,1968,Retired,24,,C$300.31,,
223,10210-1,Imperial Flagship,Pirates,,2010,Retired,"1,664  (PPP C$0.14)",C$229.99,"C$1,225.28",+432.25%,+11.06%
224,1021-1,Basic Vehicles with 78 Elements,Dacta,Duplo,1986,Retired,94,,Unknown,,
225,10211-1,Grand Emporium,Advanced Models,Modular Buildings,2010,Retired,"2,182  (PPP C$0.09)",C$199.99,C$474.51,+147.35%,+15.91%
226,10212-1,Imperial Shuttle,Star Wars,Ultimate Collector Series,2010,Retired,"2,503  (PPP C$0.13)",C$309.99,"C$1,023.19",+207.70%,+13.90%
227,10213-1,Shuttle Adventure,Advanced Models,Space,2010,Retired,"1,204  (PPP C$0.11)",C$129.99,C$620.01,+384.81%,+13.97%
228,10214-1,Tower Bridge,Creator Expert,Buildings,2010,Retired,"4,287  (PPP C$0.07)",C$299.99,C$359.65,+17.17%,+14.34%
229,10215-1,Obi-Wan's Jedi Starfighter,Star Wars,Ultimate Collector Series,2010,Retired,676  (PPP C$0.19),C$129.99,C$355.33,+177.85%,+9.49%
230,10216-1,Winter Village Bakery,Advanced Models,Winter Village,2010,Retired,687  (PPP C$0.10),C$74.99,C$426.93,+507.02%,+15.73%
231,10217-1,Diagon Alley,Harry Potter,,2011,Retired,"2,025  (PPP C$0.09)",C$199.99,C$711.09,+270.67%,+15.59%
232,10218-1,Pet Shop,Advanced Models,Modular Buildings,2011,Retired,"2,032  (PPP C$0.09)",C$199.99,C$276.65,+44.21%,+9.61%
233,10219-1,Maersk Train,Advanced Models,Trains,2011,Retired,"1,237  (PPP C$0.12)",C$154.99,C$544.85,+255.03%,+10.16%
234,10220-1,Volkswagen T1 Camper Van,Advanced Models,Vehicles,2011,Retired,"1,332  (PPP C$0.12)",C$129.99,C$165.23,+7.67%,+0.81%
235,1022-1,Mini Basic Bricks,Dacta,Duplo,1986,Retired,29,,Unknown,,
236,10221-1,Super Star Destroyer,Star Wars,Ultimate Collector Series,2011,Retired,"3,152  (PPP C$0.16)",C$499.99,"C$1,212.03",+136.92%,+14.25%
237,10222-1,Winter Village Post Office,Advanced Models,Winter Village,2011,Retired,822  (PPP C$0.11),C$79.99,C$569.40,+536.08%,+15.67%
238,10223-1,Kingdoms Joust,Castle,Kingdoms,2012,Retired,"1,575  (PPP C$0.10)",C$149.99,C$309.54,+101.70%,+12.35%
239,10224-1,Town Hall,Advanced Models,Modular Buildings,2012,Retired,"2,766  (PPP C$0.09)",C$249.99,"C$1,026.59",+301.35%,+18.85%
240,10225-1,R2-D2,Star Wars,Ultimate Collector Series,2012,Retired,"2,127  (PPP C$0.11)",C$229.99,C$499.50,+116.98%,+13.68%
241,10226-1,Sopwith Camel,Advanced Models,Aircraft,2012,Retired,883  (PPP C$0.14),C$129.99,C$247.35,+93.41%,+9.24%
242,10227-1,B-Wing Starfighter,Star Wars,Ultimate Collector Series,2012,Retired,"1,487  (PPP C$0.17)",C$249.99,C$621.31,+142.90%,+13.42%
243,10228-1,Haunted House,Monster Fighters,,2012,Retired,"2,064  (PPP C$0.11)",C$199.99,C$613.91,+166.68%,+13.05%
244,10229-1,Winter Village Cottage,Advanced Models,Winter Village,2012,Retired,"1,490  (PPP C$0.09)",C$129.99,C$505.41,+295.20%,+15.65%
245,102-3,Super Value Set,Samsonite,Basic Set,1969,Retired,102,,C$190.02,,
246,10230-1,Mini Modulars,Advanced Models,Modular Buildings,2012,Retired,"1,356  (PPP C$0.08)",C$99.99,C$210.98,+106.23%,+5.97%
247,1023-1,Giant Red Baseplate,Dacta,,1986,Retired,1,,Unknown,,
248,10231-1,Shuttle Expedition,Advanced Models,Space,2011,Retired,"1,230  (PPP C$0.10)",C$129.99,C$716.23,+460.05%,+14.28%
249,10232-1,Palace Cinema,Creator Expert,Modular Buildings,2013,Retired,"2,196  (PPP C$0.09)",C$199.99,C$310.64,+61.93%,+17.44%
250,10233-1,Horizon Express,Creator Expert,Trains,2013,Retired,"1,351  (PPP C$0.12)",C$149.99,C$320.81,+92.96%,+8.84%
251,10234-1,Sydney Opera House,Creator Expert,Buildings,2013,Retired,"2,989  (PPP C$0.14)",C$379.99,C$502.92,+22.88%,+5.24%
252,10235-1,Winter Village Market,Creator Expert,Winter Village,2013,Retired,"1,261  (PPP C$0.10)",C$129.99,C$243.00,+90.01%,+11.37%
253,10236-1,Ewok Village,Star Wars,Ultimate Collector Series,2013,Retired,"1,990  (PPP C$0.16)",C$299.99,C$514.78,+61.00%,+9.49%
254,10237-1,Tower of Orthanc,The Lord of the Rings,The Two Towers,2013,Retired,"2,359  (PPP C$0.11)",C$249.99,C$453.85,+77.43%,+11.88%
255,10240-1,Red Five X-wing Starfighter,Star Wars,Ultimate Collector Series,2013,Retired,"1,559  (PPP C$0.16)",C$249.99,C$447.65,+75.01%,+8.55%
256,1024-1,Animals with 32 Elements,Dacta,,1985,Retired,32,,Unknown,,
257,10241-1,Maersk Line Triple-E,Advanced Models,Maersk,2014,Retired,"1,518  (PPP C$0.13)",C$179.99,C$386.44,+101.44%,+14.90%
258,10242-1,Mini Cooper MK VII,Creator Expert,Vehicles,2014,Retired,"1,077  (PPP C$0.12)",C$119.99,C$239.22,+87.06%,+30.40%
259,10243-1,Parisian Restaurant,Creator Expert,Modular Buildings,2014,Retired,"2,469  (PPP C$0.08)",C$189.99,C$329.47,+61.01%,+25.12%
260,10244-1,Fairground Mixer,Creator Expert,Fairground,2014,Retired,"1,746  (PPP C$0.11)",C$179.99,C$251.87,+31.30%,+5.77%
261,10245-1,Santa's Workshop,Creator Expert,Winter Village,2014,Retired,883  (PPP C$0.10),C$89.99,C$317.70,+254.91%,+30.40%
262,10246-1,Detective's Office,Creator Expert,Modular Buildings,2015,Retired,"2,262  (PPP C$0.09)",C$199.99,C$439.90,+114.98%,+30.40%
263,10247-1,Ferris Wheel,Creator Expert,Fairground,2015,Retired,"2,464  (PPP C$0.10)",C$229.99,C$457.77,+78.96%,+23.93%
264,10248-1,Ferrari F40,Creator Expert,Vehicles,2015,Retired,"1,158  (PPP C$0.11)",C$119.99,C$334.83,+161.82%,+25.99%
265,10249-1,Winter Toy Shop,Creator Expert,Winter Village,2015,Retired,898  (PPP C$0.11),C$99.99,C$244.35,+138.84%,+30.40%
266,10250-1,Year of the Snake,Creator,Chinese New Year,2013,Retired,243  (PPP C$0.26),C$63.94,C$160.71,+151.35%,+7.54%
267,1025-1,Figures and Furniture,Dacta,,1985,Retired,35,,Unknown,,
268,10251-1,Brick Bank,Creator Expert,Modular Buildings,2016,Retired,"2,380  (PPP C$0.09)",C$219.99,C$553.15,+154.42%,+30.40%
269,10252-1,Volkswagen Beetle,Creator Expert,Vehicles,2016,Exclusive,"1,167  (PPP C$0.11)",C$127.89,,,
270,10253-1,Big Ben,Creator Expert,Buildings,2016,Retired,"4,163  (PPP C$0.08)",C$319.74,C$501.98,+57.00%,+14.29%
271,10254-1,Winter Holiday Train,Creator Expert,Winter Village,2016,Retired,734  (PPP C$0.17),C$127.89,C$181.37,+41.82%,+17.19%
272,10255-1,Assembly Square,Creator Expert,Modular Buildings,2017,Exclusive,"4,002  (PPP C$0.09)",C$339.99,,,
273,10256-1,Taj Mahal,Creator Expert,Buildings,2017,Exclusive,"5,923  (PPP C$0.08)",C$449.99,,,
274,10257-1,Carousel,Creator Expert,Fairground,2017,Retired,"2,670  (PPP C$0.10)",C$249.99,C$410.43,+60.46%,+24.80%
275,10258-1,London Bus,Creator Expert,Vehicles,2017,Exclusive,"1,686  (PPP C$0.11)",C$179.99,,,
276,10259-1,Winter Village Station,Creator Expert,Winter Village,2017,Retired,902  (PPP C$0.11),C$99.99,C$197.09,+92.65%,+33.40%
277,10260-1,Downtown Diner,Creator Expert,Modular Buildings,2018,Exclusive,"2,480  (PPP C$0.09)",C$219.99,,,
278,1026-1,Play Boxes,Dacta,,1985,Retired,2,,Unknown,,
279,10261-1,Roller Coaster,Creator Expert,Fairground,2018,Exclusive,"4,124  (PPP C$0.12)",C$479.99,,,
280,10262-1,James Bond Aston Martin DB5,Creator Expert,Vehicles,2018,Exclusive,"1,290  (PPP C$0.15)",C$179.99,,,
281,10263-1,Winter Village Fire Station,Creator Expert,Winter Village,2018,Limited Retail,"1,166  (PPP C$0.11)",C$129.99,,,
282,10264-1,Corner Garage,Creator Expert,Modular Buildings,2019,Exclusive,"2,569  (PPP C$0.10)",C$269.99,,,
283,10265-1,Ford Mustang,Creator Expert,Vehicles,2019,Retail,"1,471  (PPP C$0.13)",C$199.99,,,
284,10266-1,NASA Apollo 11 Lunar Lander,Creator Expert,,2019,Exclusive,"1,087  (PPP C$0.12)",C$139.99,,,
285,10267-1,Gingerbread House,Creator Expert,Winter Village,2019,Limited Retail,"1,477  (PPP C$0.09)",C$139.99,,,
286,10268-1,Vestas Wind Turbine,Creator Expert,,2018,Retail,826  (PPP C$0.31),C$249.99,,,
287,10269-1,Harley-Davidson Fat Boy,Creator Expert,Vehicles,2019,Retail,"1,023  (PPP C$0.13)",C$139.99,,,
288,10270-1,Bookshop,Creator Expert,Modular Buildings,2020,Limited Retail,"2,504  (PPP C$0.09)",C$199.99,,,
289,1027-1,Vehicles,Dacta,,1985,Retired,30,,Unknown,,
290,10271-1,Fiat 500,Creator Expert,Vehicles,2020,Limited Retail,960  (PPP C$0.12),C$129.99,,,
291,10272-1,Old Trafford - Manchester United,Creator Expert,Buildings,2020,Exclusive,"3,898  (PPP C$0.10)",C$349.99,,,
292,10273-1,Haunted House,Creator Expert,Fairground,2020,Retail,"3,231  (PPP C$0.10)",C$299.99,,,
293,10274-1,ECTO-1,Ghostbusters,,2020,Exclusive,"2,352  (PPP C$0.11)",C$259.99,,,
294,10275-1,Elf Club House,Creator Expert,Winter Village,2020,Exclusive,"1,197  (PPP C$0.11)",C$127.89,,,
295,10276-1,Colosseum,Creator Expert,Buildings,2020,Exclusive,"9,036  (PPP C$0.08)",C$649.99,,,
296,10277-1,Crocodile Locomotive,Creator Expert,Trains,2020,Exclusive,"1,271  (PPP C$0.10)",C$127.89,,,
297,1028-1,6x12 Base Bricks,Dacta,,1986,Retired,6,,Unknown,,
298,10285-1,Compass Sensor,Mindstorms,NXT,2011,Retired,1  (PPP C$70.33),C$69.99,C$116.45,+65.58%,+9.50%
299,10287-1,Intelligent NXT Black Brick,Mindstorms,NXT,2009,Retired,1  (PPP C$217.42),C$217.42,C$217.42 +/- 2%,,
300,1029-1,Milk Delivery Truck,Town,Promotional,1999,Retired,95,Free promotional,C$140.68,,+9.34%
301,,Front-End Loader,LEGOLAND,Vehicle,1970,Retired,57  (PPP C$0.28),C$15.97,Unknown,,
302,1030-1,Technic I Simple Machines Set,Dacta,Technic,1985,Retired,179  (PPP C$0.54),C$95.91,C$122.46,+27.68%,+0.70%
303,103-1,4.5V Motor Set with Rubber Tracks,Universal Building Set,Supplemental,1969,Retired,32,,C$84.84,,
304,1031-1,Building Cards,Dacta,,1983,Retired,20  (PPP C$1.01),C$20.14,Unknown,,
305,103-2,Imagination Standard Set 3,Samsonite,Basic Set,1971,Retired,576  (PPP C$0.02),C$12.73,C$633.12 Low accuracy,+4875.01%,
306,1032-1,Technic II Powered Machines Set,Dacta,Technic,1984,Retired,278  (PPP C$0.37),C$102.31,C$199.43,+94.94%,+3.38%
307,1033-1,Building Cards,Dacta,,1985,Retired,20,,C$23.79,,
308,1034-1,Teachers Resource Set,Dacta,Technic,1985,Retired,"1,501  (PPP C$0.11)",C$164.99,C$583.76,+253.81%,+3.33%
309,1038-1,Universal Buggy,Dacta,Technic,1985,Retired,119,,C$115.76,,
310,1039-1,Manual Control Set 1,Dacta,,1986,Retired,46,,C$98.79,,
311,1040-1,Farm,Dacta,Duplo,1991,Retired,89,,C$184.64,,
312,10401-1,Rainbow Fun,Classic,Building Bigger Thinking,2018,Retired,85  (PPP C$0.08),C$5.99,C$10.33,+61.92%,+13.22%
313,1040-2,Farm Set,Dacta,Duplo,1986,Retired,82,,Unknown,,
314,10402-1,Fun Future,Classic,Building Bigger Thinking,2018,Retired,186  (PPP C$0.07),C$12.99,C$15.08,+18.02%,+4.73%
315,10403-1,World Fun,Classic,Building Bigger Thinking,2018,Retired,295  (PPP C$0.09),C$24.99,C$25.57 +/- 2%,,
316,10404-1,Ocean's Bottom,Classic,Building Bigger Thinking,2018,Retired,579  (PPP C$0.07),C$34.99,C$43.43,+13.24%,+4.10%
317,10405-1,Mission to Mars,Classic,Building Bigger Thinking,2018,Retired,871  (PPP C$0.09),C$69.99,C$109.64,+42.89%,+10.61%
318,104-1,4.5V Replacement Motor,Trains,4.5V,1970,Retired,1,,C$37.54,,
319,1041-1,Harbor,Dacta,Duplo,1986,Retired,77,,Unknown,,
320,1041-2,Educational Duplo Building Set,Dacta,Duplo,1980,Retired,68  (PPP C$0.69),C$46.67,Unknown,,
321,1042-1,Community People,Dacta,Duplo,1986,Retired,12,,Unknown,,
322,1043-1,Farm Animals Set,Dacta,Duplo,1986,Retired,30,,Unknown,,
323,1044-1,Community Vehicles,Dacta,Duplo,1986,Retired,33,,Unknown,,
324,1045-1,Industrial Elements,Dacta,Duplo,1986,Retired,20,,Unknown,,
325,1045-2,Educational Building Set,Dacta,Duplo,1976,Retired,683  (PPP C$0.07),C$49.24,Unknown,,
326,1046-1,Train Set,Dacta,Duplo,1986,Retired,61,,Unknown,,
327,1047-1,Extra Track,Dacta,Duplo,1986,Retired,12,,Unknown,,
328,1048-1,Bridge and Crossing Tracks,Dacta,Duplo,1986,Retired,12  (PPP C$0.85),C$10.23,Unknown,,
329,1049-1,Ships,Dacta,,1985,Retired,241,,Unknown,,
330,10500-1,Horse Stable,Duplo,,2013,Retired,44  (PPP C$0.87),C$34.99,C$69.85,+82.09%,+8.96%
331,1050-1,Basic Pack,Dacta,,1986,Retired,,,C$353.53,,
332,10501-1,Zoo Friends,Duplo,Zoo,2013,Retired,5  (PPP C$1.28),C$5.99,C$7.80,+22.24%,+4.34%
333,10502-1,Zoo Bus,Duplo,Zoo,2013,Retired,19  (PPP C$2.02),C$34.99,C$338.94,+783.63%,+23.30%
334,10503-1,Circus Show,Duplo,Circus,2013,Retired,25  (PPP C$0.77),C$17.99,C$26.50,+38.23%,+3.82%
335,10504-1,My First Circus,Duplo,Circus,2013,Retired,62  (PPP C$0.72),C$39.99,C$114.36,+155.53%,+13.33%
336,10505-1,Play House,Duplo,,2013,Retired,83  (PPP C$0.92),C$69.99,C$234.82,+206.05%,+15.83%
337,10506-1,Train Accessory Set,Duplo,Trains,2013,Retired,24  (PPP C$1.07),C$24.99,C$63.94,+150.08%,+22.14%
338,10507-1,My First Train Set,Duplo,Trains,2013,Retired,52  (PPP C$1.11),C$49.99,C$187.12,+225.18%,+36.40%
339,10508-1,Deluxe Train Set,Duplo,Trains,2013,Retired,134  (PPP C$1.05),C$129.99,C$292.52,+107.94%,+19.89%
340,10509-1,Dusty and Chug,Duplo,Disney Planes,2013,Retired,16  (PPP C$1.20),C$14.99,C$143.24,+647.10%,+25.01%
341,105-1,Mail Van,Town,Promotional,1984,Retired,65,Free promotional,C$441.59,,+13.24%
342,10510-1,Ripslinger's Air Race,Duplo,Disney Planes,2013,Retired,40  (PPP C$0.80),C$24.99,C$51.15,+60.02%,+7.98%
343,10511-1,Skipper's Flight School,Duplo,Disney Planes,2013,Retired,53  (PPP C$0.97),C$39.99,C$95.31,+86.35%,+8.41%
344,10512-1,Jake's Treasure Hunt,Duplo,Jake and the Never Land Pirates,2013,Retired,22  (PPP C$0.87),C$14.99,C$50.93,+165.64%,+12.14%
345,10513-1,Never Land Hideout,Duplo,Jake and the Never Land Pirates,2013,Retired,37  (PPP C$0.86),C$24.99,C$51.12,+59.94%,+8.34%
346,10514-1,Jake's Pirate Ship Bucky,Duplo,Jake and the Never Land Pirates,2013,Retired,56  (PPP C$0.91),C$39.99,C$214.80,+319.95%,+22.58%
347,10515-1,Ariel's Undersea Castle,Duplo,Disney Princess,2013,Retired,39  (PPP C$0.98),C$29.99,C$174.47,+354.85%,+18.13%
348,10516-1,Ariel's Magical Boat Ride,Duplo,Disney Princess,2013,Retired,30  (PPP C$0.64),C$17.99,C$55.55,+189.73%,+13.43%
349,10517-1,My First Garden,Duplo,My First,2013,Retired,38  (PPP C$0.44),C$12.99,C$38.36,+130.87%,+9.64%
350,10518-1,My First Construction Site,Duplo,Construction,2013,Retired,43  (PPP C$0.59),C$19.99,C$153.47,+500.25%,+23.79%
351,10519-1,Garbage Truck,Duplo,,2013,Retired,16  (PPP C$1.60),C$24.99,C$99.30,+288.39%,+10.16%
352,105-2,Building Set,Universal Building Set,Basic Set,1973,Retired,149,,Unknown,,
353,135-1,Building Set,Universal Building Set,Basic Set,1973,Retired,338,,Unknown,,
354,10520-1,Big Front Loader,Duplo,,2013,Retired,12  (PPP C$2.13),C$24.99,C$131.05,+412.56%,+17.25%
355,10521-1,Baby Calf,Duplo,,2014,Retired,9  (PPP C$0.99),C$8.99,C$16.58,+85.41%,+9.95%
356,10522-1,Farm Animals,Duplo,,2014,Retired,12  (PPP C$1.06),C$12.99,C$63.46,+396.70%,+22.38%
357,10524-1,Farm Tractor,Duplo,,2014,Retired,29  (PPP C$0.88),C$24.99,C$52.43,+105.05%,+21.48%
358,10525-1,Big Farm,Duplo,,2014,Retired,121  (PPP C$0.63),C$59.99,C$244.65,+218.85%,+27.14%
359,10526-1,Peter Pan's Visit,Duplo,Jake and the Never Land Pirates,2014,Retired,39  (PPP C$0.98),C$29.99,C$63.94,+66.69%,+7.71%
360,10527-1,Ambulance,Duplo,,2014,Retired,14  (PPP C$1.37),C$17.99,C$54.93,+186.52%,+18.27%
361,10528-1,School Bus,Duplo,,2014,Retired,26  (PPP C$0.98),C$19.99,C$63.82,+149.62%,+17.37%
362,10529-1,Truck,Duplo,,2014,Retired,16  (PPP C$1.20),C$17.99,C$28.01,+46.10%,+3.91%
363,1053-1,Community Buildings,Dacta,,1984,Retired,914,,"C$1,338.36",,
364,10531-1,Mickey Mouse and Friends,Duplo,Disney,2012,Retired,65  (PPP C$0.69),C$39.99,C$192.90,+331.04%,+16.59%
365,10532-1,My First Police Set,Duplo,My First,2014,Retired,39  (PPP C$0.82),C$24.99,C$85.31,+166.91%,+16.63%
366,10538-1,Fire and Rescue Team,Duplo,Disney Planes,2014,Retired,30  (PPP C$1.28),C$29.99,C$116.03,+202.50%,+17.14%
367,10539-1,Beach Racing,Duplo,Jake and the Never Land Pirates,2014,Retired,37  (PPP C$0.86),C$24.99,C$44.75,+40.02%,+6.84%
368,1054-1,Stena Line Ferry,Promotional,Ferries,1999,Retired,212,Free promotional,C$249.97,,+4.83%
369,10542-1,Sleeping Beauty's Fairy Tale,Duplo,Disney Princess,2014,Retired,55  (PPP C$0.81),C$39.99,C$105.10,+134.84%,+15.21%
370,10543-1,Superman Rescue,Duplo,,2014,Retired,19  (PPP C$1.35),C$19.99,C$57.12,+123.41%,+12.76%
371,10544-1,The Joker Challenge,Duplo,,2014,Retired,40  (PPP C$0.96),C$29.99,C$83.11,+116.67%,+17.66%
372,10545-1,Batcave Adventure,Duplo,,2014,Retired,59  (PPP C$1.08),C$49.99,C$99.53,+55.67%,+9.29%
373,10546-1,My First Shop,Duplo,My First,2014,Retired,39  (PPP C$0.82),C$24.99,C$38.59,+20.73%,+3.53%
374,10550-1,Circus Transport,Duplo,Circus,2013,Retired,9  (PPP C$2.84),C$24.99,C$45.05,+76.19%,+7.76%
375,10552-1,Creative Cars,Duplo,,2013,Retired,40  (PPP C$0.64),C$19.99,C$115.10,+350.18%,+22.54%
376,10553-1,Toddler Build and Play Cubes,Duplo,,2013,Retired,17  (PPP C$0.98),C$12.99,C$28.93,+74.13%,+8.52%
377,10554-1,Toddler Build and Pull Along,Duplo,,2013,Retired,15  (PPP C$1.28),C$14.99,C$34.48,+79.85%,+13.53%
378,10555-1,Creative Bucket,Duplo,Building Sets,2013,Retired,65  (PPP C$0.59),C$39.99,C$246.81,+543.45%,+36.40%
379,10556-1,Creative Chest,Duplo,,2013,Retired,106  (PPP C$0.54),C$49.99,C$152.67,+165.33%,+8.27%
380,10557-1,Giant Tower,Duplo,,2013,Retired,200  (PPP C$0.38),C$69.99,C$191.72,+149.87%,+13.53%
381,10558-1,Number Train,Duplo,Trains,2013,Retired,31  (PPP C$0.82),C$19.99,C$64.54,+152.43%,+16.61%
382,10559-1,A Fairy Tale,Duplo,,2013,Retired,15  (PPP C$1.11),C$15.99,C$48.97,+194.77%,+14.23%
383,10560-1,Peekaboo Jungle,Duplo,,2013,Retired,13  (PPP C$1.28),C$15.99,C$16.61 +/- 2%,,
384,1056-1,Basic School Pack Topical Thematic Work,Dacta,,1985,Retired,809,,C$950.46,,
385,10561-1,Toddler Starter Building Set,Duplo,Building Sets,2013,Retired,37  (PPP C$0.69),C$19.99,C$57.54,+125.06%,+13.44%
386,10565-1,Creative Suitcase,Duplo,,2014,Retired,135  (PPP C$0.57),C$69.99,C$121.49,+58.34%,+5.15%
387,10566-1,Creative Picnic,Duplo,,2014,Retired,52  (PPP C$0.61),C$29.99,C$43.08,+34.77%,+7.86%
388,10567-1,Toddler Build and Boat Fun,Duplo,,2014,Retired,18  (PPP C$1.42),C$19.99,C$34.60,+35.32%,+4.74%
389,10568-1,Knight Tournament,Duplo,,2014,Retired,16  (PPP C$0.80),C$12.99,C$25.57,+100.10%,+12.36%
390,10569-1,Treasure Attack,Duplo,,2014,Retired,46  (PPP C$0.83),C$29.99,C$108.42,+182.66%,+17.50%
391,10570-1,All-in-One Gift Set,Duplo,,2014,Retired,30  (PPP C$0.64),C$17.99,C$45.44,+137.02%,+18.05%
392,10571-1,All-in-One-Box-of-Fun Pink,Duplo,Building Sets,2014,Retired,65  (PPP C$0.59),C$34.99,C$54.34,+41.68%,+13.56%
393,10572-1,All-in-One-Box-of-Fun,Duplo,Building Sets,2014,Retired,65  (PPP C$0.59),C$34.99,C$38.97,+1.60%,+1.88%
394,10573-1,Creative Animals,Duplo,,2014,Retired,25  (PPP C$0.77),C$14.99,C$103.89,+441.89%,+30.40%
395,10574-1,Creative Ice Cream,Duplo,,2014,Retired,24  (PPP C$0.80),C$14.99,C$204.63,+967.31%,+30.40%
396,10575-1,Creative Building Cube,Duplo,Building Sets,2014,Retired,75  (PPP C$0.51),C$34.99,C$35.81,,
397,10576-1,Zoo Care,Duplo,,2014,Retired,9  (PPP C$0.99),C$8.99,C$16.54,+84.98%,+10.42%
398,10577-1,Big Royal Castle,Duplo,,2014,Retired,135  (PPP C$0.57),C$69.99,C$212.56,+177.03%,+17.14%
399,10579-1,Clubhouse Cafe,Duplo,Mickey Mouse Clubhouse,2014,Retired,16  (PPP C$1.04),C$15.99,C$51.15,+207.85%,+16.52%
400,10580-1,Deluxe Box of Fun,Duplo,Building Sets,2014,Retired,95  (PPP C$0.67),C$59.99,C$144.54,+126.07%,+21.21%
401,10581-1,Ducks,Duplo,Forest Animals,2015,Retired,13  (PPP C$0.98),C$12.99,C$62.61,+389.99%,+29.59%
402,10582-1,Animals,Duplo,Forest Animals,2015,Retired,39  (PPP C$0.66),C$24.99,C$76.68,+199.90%,+19.84%
403,10583-1,Fishing Trip,Duplo,Forest Animals,2015,Retired,32  (PPP C$1.00),C$29.99,C$91.41,+185.99%,+19.07%
404,10584-1,Forest,Duplo,Forest Animals,2015,Retired,105  (PPP C$0.73),C$69.99,C$121.16,+57.91%,+9.90%
405,10585-1,Mom and Baby,Duplo,,2015,Retired,13  (PPP C$0.98),C$12.99,C$54.97,+330.23%,+22.04%
406,10586-1,Ice Cream Truck,Duplo,,2015,Retired,11  (PPP C$1.74),C$14.99,C$51.15,+166.78%,+19.72%
407,10587-1,Café,Duplo,,2015,Retired,52  (PPP C$0.49),C$24.99,C$63.91,+149.97%,+17.08%
408,10589-1,Rally Car,Duplo,,2015,Retired,13  (PPP C$1.47),C$14.99,C$26.27,+37.02%,+7.46%
409,10590-1,Airport,Duplo,,2015,Retired,29  (PPP C$0.88),C$24.99,C$101.53,+297.10%,+31.40%
410,10591-1,Fire Boat,Duplo,Fire,2015,Retired,19  (PPP C$1.01),C$14.99,C$32.65,+70.31%,+9.19%
411,10592-1,Fire Truck,Duplo,Fire,2015,Retired,26  (PPP C$1.23),C$29.99,C$87.97,+175.23%,+22.59%
412,10593-1,Fire Station,Duplo,Fire,2015,Retired,105  (PPP C$0.61),C$59.99,"C$1,107.88",+1632.77%,+31.40%
413,10594-1,Sofia the First Royal Stable,Duplo,Sofia the First,2015,Retired,38  (PPP C$0.84),C$29.99,C$111.67,+249.38%,+21.64%
414,10595-1,Sofia the First Royal Castle,Duplo,Sofia the First,2015,Retired,87  (PPP C$0.73),C$49.99,C$169.65,+165.33%,+19.19%
415,10596-1,Disney Princess Collection,Duplo,Disney Princess,2015,Retired,63  (PPP C$0.81),C$44.99,C$191.85,+275.09%,+25.22%
416,10597-1,Mickey & Minnie Birthday Parade,Duplo,,2015,Retired,24  (PPP C$1.33),C$29.99,C$32.63,+2.08%,+2.70%
417,10599-1,Batman Adventure,Duplo,Batman,2015,Retired,47  (PPP C$1.09),C$39.99,C$147.66,+188.70%,+21.19%
418,10600-1,Classic Race,Duplo,Cars,2015,Retired,29  (PPP C$1.10),C$29.99,C$63.90,+99.92%,+15.32%
419,1060-1,Road Plates and Signs,Dacta,Town,1981,Retired,30,,C$230.21,,
420,10601-1,Delivery Vehicle,Duplo,,2015,Retired,19  (PPP C$1.35),C$19.99,C$49.38,+93.15%,+15.65%
421,10602-1,Camping,Duplo,,2015,Retired,38  (PPP C$1.01),C$29.99,C$224.39,+484.99%,+25.69%
422,10603-1,My First Bus,Duplo,My First,2015,Retired,17  (PPP C$1.13),C$14.99,C$32.22,+68.05%,+13.43%
423,10604-1,Jake and the Never Land Pirates Treasure Island,Duplo,Jake and the Never Land Pirates,2015,Retired,25  (PPP C$1.02),C$19.99,C$35.94,+40.57%,+6.17%
